year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1915,255,325,360,-1,1,1,FALSE,0.26851216563464775,0.1384081104728342,11,12.044444444444444,5,4,255-325-360,-3.640854914652102,TRUE,1920,NA,dissolved,FALSE,pre-1945,NA,NA,0,0
1915,255,355,640,1,1,-1,FALSE,0.239334328738909,0.1384081104728342,12,15.583333333333334,6,5,255-355-640,-4.421660377593965,TRUE,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1915,255,355,360,1,1,-1,FALSE,0.2685833592328471,0.1384081104728342,11.333333333333334,10.405555555555557,5.333333333333333,4.333333333333333,255-355-360,-4.7365747841207835,TRUE,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1915,255,360,365,-1,1,1,FALSE,0.27978313263502336,0.1384081104728342,11,8.377777777777778,5.333333333333333,4.333333333333333,255-360-365,-3.2111427489184585,TRUE,1920,NA,dissolved,FALSE,pre-1945,NA,NA,0,0
1915,200,355,640,-1,-1,-1,FALSE,0.2847997546680141,0.27480438826014947,9.333333333333334,5.927777777777777,5.333333333333333,4.333333333333333,200-355-640,-4.423625712833462,NA,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1915,220,355,640,-1,-1,-1,FALSE,0.30288740581614926,0.2864319573081257,8.333333333333334,3.983333333333334,5.333333333333333,4.333333333333333,220-355-640,-4.63719477176458,NA,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1915,355,365,640,-1,-1,-1,FALSE,0.2998753844195157,0.2864319573081257,8.666666666666666,4.388888888888888,5.666666666666667,4.666666666666667,355-365-640,-4.489362655334583,NA,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1915,325,355,640,-1,-1,-1,FALSE,0.28860441741914017,0.28621837651352755,8.666666666666666,5.111111111111112,5.666666666666667,4.666666666666667,325-355-640,-4.919074821068227,NA,1920,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,200,255,350,-1,-1,-1,FALSE,0.24032115070483903,0.14626243928561078,12,11.381481481481481,6,5,200-255-350,-3.3848168318344594,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,220,255,350,-1,-1,-1,FALSE,0.2521908213048723,0.14626243928561078,11.333333333333334,10.133333333333333,5.666666666666667,4.666666666666667,220-255-350,-3.5780266978157007,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,200,350,355,-1,-1,-1,FALSE,0.2903951200754714,0.23597344534713002,9.666666666666666,4.214814814814814,5.666666666666667,4.666666666666667,200-350-355,-4.48200855868733,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,200,350,640,-1,-1,-1,FALSE,0.2742146514776474,0.23597344534713002,9.666666666666666,5.777777777777778,5.333333333333333,4.333333333333333,200-350-640,-4.440970745594426,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,220,350,355,-1,-1,-1,FALSE,0.3022647906755047,0.2715824571472299,9,2.744444444444445,5.666666666666667,4.666666666666667,220-350-355,-4.6752184246685715,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1916,220,350,640,-1,-1,-1,FALSE,0.2860843220776807,0.24794294160403604,9,3.751851851851852,5.333333333333333,4.333333333333333,220-350-640,-4.634180611575667,NA,1921,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1917,2,255,380,-1,-1,-1,FALSE,0.2623980668655809,0.11557372372191571,10.333333333333334,23.96031746031746,1.6666666666666667,0.6666666666666667,2-255-380,-2.9049145836284875,NA,1922,NA,dissolved,FALSE,pre-1945,NA,0,NA,0
1917,200,255,380,-1,-1,-1,FALSE,0.25994677016536044,0.11557372372191571,12.666666666666666,12.916017316017316,4.333333333333333,3.333333333333333,200-255-380,-3.067364671151161,NA,1922,NA,dissolved,FALSE,pre-1945,NA,0,NA,0
